Smiles,Molecule ChEMBL ID,pChEMBL Value,Molecular Weight,AlogP,#RO5 Violations,Document Year,Source Description,Time_hr,Source_Type,Journal
O=C(Nc1cc2cc[nH]c2cn1)c1ccc(Cl)c(Cl)c1,CHEMBL4467747,7.47474869198187,306.15,4.12,0.0,2019,Scientific Literature,,Patent,
O=C(Nc1cc2cc[nH]c2cn1)c1ccc(Cl)c(F)c1,CHEMBL4451278,6.91721462968355,289.7,3.61,0.0,2019,Scientific Literature,,Patent,
O=C(Nc1cc2cc[nH]c2cn1)c1ccc(F)c(Cl)c1,CHEMBL4456254,7.142667503568731,289.7,3.61,0.0,2019,Scientific Literature,1.0,Article,Eur J Med Chem
O=C(Nc1cc2cc[nH]c2cn1)c1ccc(F)c(F)c1,CHEMBL4441316,6.557520230935552,273.24,3.09,0.0,2019,Scientific Literature,,Patent,
O=C(Nc1cc2ccccc2oc1=O)C1CCCCC1,CHEMBL1426944,4.301377570297902,271.32,3.31,0.0,2012,Scientific Literature,,Patent,
O=C(Nc1cc2ccccc2oc1=O)OCCBr,CHEMBL2376890,5.29413628771608,312.12,2.74,0.0,2013,Scientific Literature,,Article,Bioorg Med Chem
O=C(Nc1cc2ccccc2oc1=O)OCc1ccccc1,CHEMBL2376885,7.346787486224656,295.29,3.54,0.0,2013,Scientific Literature,,Article,J Med Chem
O=C(Nc1cc2ccccc2oc1=O)Oc1ccccc1,CHEMBL2376891,4.614393726401688,281.27,3.4,0.0,2013,Scientific Literature,,Article,Medchemcomm
O=C(Nc1cc2ccccc2oc1=O)c1ccc(Cl)c(Cl)c1,CHEMBL3220513,5.22548303427145,334.16,4.35,0.0,2012,Scientific Literature,,Article,Medchemcomm
O=C(Nc1cc2ccccc2oc1=O)c1ccc(Cl)cc1,CHEMBL3220509,5.709965388637482,299.71,3.7,0.0,2012,Scientific Literature,0.3333,Article,Eur J Med Chem
O=C(Nc1cc2ccccc2oc1=O)c1ccccc1,CHEMBL252403,6.119186407719209,265.27,3.05,0.0,2012,Scientific Literature,,Article,Medchemcomm
O=C(Nc1ccc(-c2cn3c(n2)SCC3)cc1)c1cccc(C2CC2NCC2CC2)c1,CHEMBL5828513,1.229999999967245,430.58,4.76,0.0,2017,BindingDB Patent Bioactivity Data,,Article,Medchemcomm
